俞灏明	俞灏明	10591367	206	558
李敏镐	李敏镐	22898071	11	268
大自然保护协会-马云	大自然保护协会-马云	15616866	0	39
林心如	林心如	57488649	214	5940
时尚小编Anne	时尚小编Anne	10064227	136	2103
黄晓明	黄晓明	22616497	506	2011
张靓颖	张靓颖	27878708	238	3846
张成龙2012	张成龙2012	9813621	199	744
吳君如大美女	吳君如大美女	18490338	190	412
李娜	李娜	23309493	81	631
徐小平	徐小平	11659926	1929	13795
唐嫣	唐嫣	24301532	200	2391
有斐君	有斐君	8779383	577	4251
周新乾清华EMBA	周新乾清华EMBA	12332503	1415	762
钟汉良	钟汉良	13697255	41	118
模特燕燕	模特燕燕	11074706	27	15428
电商圈小七说	电商圈小七说	12060201	485	10704
方大同	方大同	10413123	143	2603
张翰	张翰	16981358	255	1170
高晓松	高晓松	36068633	26	4258
稻盛和夫	稻盛和夫	10835218	30	270
舒淇	舒淇	25542203	240	2672
陈志武	陈志武	9436617	197	4093
刘若英	刘若英	18235197	29	2695
DennissYe	DennissYe	12792371	309	2748
歐弟	歐弟	18381476	2805	465
潮流时尚主编	潮流时尚主编	26930136	738	12895
吴昕	吴昕	11788851	342	1222
易建联	易建联	13551978	172	1227
叶祖新	叶祖新	11149061	210	1872
李冰冰	李冰冰	27794505	411	3772
冯小刚	冯小刚	17420681	312	621
宁静	宁静	9884666	189	620
史光起	史光起	11268899	823	10471
吸血鬼刺青-Tattoo-纹身-富博禹	吸血鬼刺青-Tattoo-纹身-富博禹	9945074	790	3621
时尚_辰辰Alice	时尚_辰辰Alice	11092046	1789	6280
小S	小S	35727942	342	1138
陆琪	陆琪	21287405	952	11445
李静	李静	10919640	750	9807
谢娜	谢娜	51430588	616	7118
黄磊微博	黄磊微博	12457328	195	1364
佟丽娅	佟丽娅	17885267	674	3936
郭德纲	郭德纲	59369567	65	1136
赵丽颖	赵丽颖	12373545	300	1652
小P老师	小P老师	35202421	960	6188
宋丹丹	宋丹丹	18479920	94	658
牛尔	牛尔	15191467	716	11953
Karen莫文蔚	Karen莫文蔚	9326274	200	1349
郭富城	郭富城	9588404	382	1157
杨幂	杨幂	36380069	581	2666
pengxiaoyu_	pengxiaoyu_	12242848	338	2164
冯喆小胖	冯喆小胖	11291437	206	1583
王力宏	王力宏	46804380	52	1457
魏晨	魏晨	13674027	178	1219
鞍钢郭明义	鞍钢郭明义	21555852	3000	9277
阿密特古歷來	阿密特古歷來	66	53	470
林依晨Ariel	林依晨Ariel	9352109	119	615
蔡依林	蔡依林	32089021	143	1348
潘瑋柏	潘瑋柏	17162681	353	3644
張智霖	張智霖	21981370	176	1307
张小娴	张小娴	62567564	109	2571
夢想家林志穎	夢想家林志穎	49521398	146	2720
李准基	李准基	14283672	6	522
PSY_OPPA	PSY_OPPA	24507987	19	303
李晨	李晨	12335275	628	5278
Ooooooooo111a	Ooooooooo111a	16669285	281	4046
edc陳冠希	edc陳冠希	22056740	39	1667
白百何	白百何	15830877	358	2652
贾乃亮	贾乃亮	28855265	287	2500
蘇有朋	蘇有朋	15601316	438	3359
芮成钢	芮成钢	10480286	435	4344
郭敬明	郭敬明	33316052	233	1482
马翾	马翾	19475915	1743	2537
杨柳群	杨柳群	2	23	0
陈乔恩	陈乔恩	30060196	291	3352
罗亚蒙	罗亚蒙	11629770	931	29847
时尚_吕宁	时尚_吕宁	12030347	209	2017
林更新	林更新	18522584	503	1620
贾樟柯	贾樟柯	14374197	222	4443
张亮Sean	张亮Sean	20095726	975	2603
杜海涛Hito	杜海涛Hito	15620064	598	4312
六六	六六	11584686	195	13608
苏芩	苏芩	36401534	872	3157
蕭敬騰	蕭敬騰	12649454	176	3403
彭艳老师	彭艳老师	10962393	31	3953
乐嘉	乐嘉	40859764	9	3031
阿信	阿信	18729766	90	1172
刘烨	刘烨	38736050	57	395
韩寒	韩寒	38968122	968	272
热门新闻记者彪	热门新闻记者彪	12915914	352	16022
汪东城TD	汪东城TD	11409605	623	3323
宋茜-fx--victoria	宋茜-fx--victoria	13229218	37	226
黑人建州	黑人建州	14055185	520	5561
彭于晏	彭于晏	10591110	453	3026
大嘴韩乔生	大嘴韩乔生	11532543	516	7140
李小璐Super璐	李小璐Super璐	20456495	323	4921
郎咸平	郎咸平	17232171	0	365
赵文瑄	赵文瑄	10861299	376	762
黄健翔	黄健翔	17971456	247	20547
大S	大S	35565811	209	1759
马苏	马苏	9197372	395	3472
Kevin凯文老师	Kevin凯文老师	42483539	309	8608
angelababy	angelababy	41759663	591	1786
IT放大镜	IT放大镜	9996195	28	6020
王珞丹	王珞丹	32807422	768	2300
袁弘	袁弘	32849694	539	3494
孙杨	孙杨	23553028	102	1468
杜淳	杜淳	33579802	371	1770
陈思诚	陈思诚	10600121	702	2393
贝利PELE	贝利PELE	11343616	0	1052
贾静雯	贾静雯	11766106	133	635
羅志祥	羅志祥	30827782	277	3845
劉嘉玲	劉嘉玲	12653515	350	2057
柯震東Kai	柯震東Kai	31473737	221	800
